Product,Type,Content,Style,Movement,
1,Text,เวียงเจ็ดลินกับการท่องเที่ยวเชิงประวัติศาสตร์และวัฒนธรรม,Heading,None,
1,Text,เวียงเจ็ดลินถือเป็นรากประวัติศาสตร์ของเมืองเชียงใหม่ สัณฐานของเวียงเจ็ดลินที่เป็นเขตคันดินและคูน้ำก่อขึ้นเป็นวงกลม มีเส้นผ่าศูนย์กลาง 900 เมตร โดยมีตาน้ำผุดเป็นจุดกึ่งกลางของเวียง ซึ่งในปัจจุบันอยู่ในบริเวณสำนักงานปศุสัตว์จังหวัดเชียงใหม่,Paragraph,None,
1,Text,ความน่าสนใจของเวียงเจ็ดลินคือความมหัศจรรย์ของหลักฐานข้อมูลทางประวัติศาสตร์ของเวียงเจ็ดลินที่ถูกสร้างไว้ก่อนประวัติศาสตร์ของเมืองเชียงใหม่ซึ่งถือเป็นรากเหง้าแห่งประวัติศาสตร์ล้านนาอย่างแท้จริง แต่ยังไม่มีการนำอาประวัติศาสตร์และร่องรอยหลักฐานที่น่าสนใจของเวียงเจ็ดลินมาส่งเสริมให้เป็นพื้นที่ท่องเที่ยวอย่างจริงจัง ทั้งที่เวียงเจ็ดลินสามารถนำมาเป็นข้อมูลทางประวัติศาสตร์สำหรับเส้นทางการท่องเที่ยวที่สำคัญของเมืองเชียงใหม่ ก่อนที่พื้นที่ประวัติศาสตร์ที่สำคัญแห่งนี้จะถูกลืมเลือนไปตามกาลเวลาทั้งนี้เนื่องจากความมหัศจรรย์ของเวียงเจ็ดลินไม่ได้เป็นเพียงเวียงเก่าแก่ที่ถูกสร้างมาร่วมพันปีที่สามารถสืบเนื่องไปยังตำนานเมืองหริภุญชัย แต่ยังสะท้อนให้เห็นภูมิปัญหาที่ชาญฉลาดในการสร้างเวียงขึ้นมาโดยคำนึงถึงมิติทางทางรัฐศาสตร์ และการวางผังเมืองที่มีลักษณะเป็นวงกลมที่หาผังเมืองแบบนี้ได้ยากทั้งนี้เพื่อป้องกันน้ำหลากในฤดูฝน ที่อาจสร้างความเสียหายให้กับบ้านเรือนและพื้นที่การเกษตร อีกทั้งคันดินของคูน้ำที่ล้อมรอบเมืองยังสามารถเป็นที่กักเก็บน้ำไว้ใช้ในช่วงฤดูแล้ง,Paragraph,None,
1,Text,"เส้นทางท่องเที่ยวเวียงเจ็ดลินควรเริ่มต้นที่ตาน้ำหรือจุดที่มีน้ำผุดขึ้นมา ที่ถือเป็นจุดกึ่งกลางของเวียงเจ็ดลิน ที่ปัจจุบันตั้งอยู่ในบริเวณสำนักงานปศุสัตว์จังหวัดเชียงใหม่ รวมถึงทุ่งหญ้าเลี้ยงสัตว์ในเขตสำนักงานปศุสัตว์ที่เคยเป็นสุสานของชาวลัวะที่อาศัยอยู่ที่เวียงเจ็ดลิน ต่อจากนั้นจึงเป็นเส้นทางท่องเที่ยวเพื่อศึกษาพื้นที่ที่เคยเป็นที่ตั้งของเวียงเจ็ดลินในอดีตจากหลักฐานคันดินของคูน้ำที่ล้อมรอบเวียงเจ็ดลินที่มีสันฐานเป็นทรงกลม ซึ่งปัจจุบันยังปรากฏอยู่ในส่วนราชการต่างๆในบริเวณทิศตะวันออกของเชิงดอยสุเทพ เช่น ศูนย์ธรรมชาติวิทยาดอยสุเทพเฉลิมพระเกียรติฯ, มหาวิทยาลัยเชียงใหม่, มหาวิทยาลัยเทคโนโลยีราชมงคลล้านนา, ภาคพายัพเชียงใหม่, สวนสัตว์เชียงใหม่, องค์การส่งเสริมการโคนมภาคเหนือ (อสค.), โรงงานผลิตนมของโครงการโคนมไทย–เดนมาร์ก, สถานีตำรวจภูธรภูพิงคราชนิเวศน์, สวนรุกขชาติห้วยแก้ว, ศูนย์ราชการกรมปศุสัตว์จังหวัดเชียงใหม่, ศูนย์จำหน่ายผลิตภัณฑ์ศิลปาชีพ เป็นต้น",Paragraph,None,
1,Text,เส้นทางท่องเที่ยวเชิงประวัติศาสตร์และวัฒนธรรมเวียงเจ็ดลินนี้ จะเป็นเส้นทางท่องเที่ยวแห่งใหม่ที่สำคัญของเมืองเชียงใหม่ อีกทั้งจะเป็นประโยชน์ทั้งในเชิงประวัติศาสตร์และวัฒนธรรมสำหรับผู้ที่สนใจ นักเรียน นักศึกษาและนักท่องเที่ยวที่จะได้มีความรู้และประสบการณ์เกี่ยวกับเวียงเจ็ดลิน เมืองประวัติศาสตร์ที่มีอายุร่วมพันปี รวมถึงความมหัศจรรย์ของภูมิปัญญาของกลุ่มคนที่สร้างเวียงแห่งนี้ขึ้นมา,Paragraph,None,
1,Text,พื้นที่ทุนวัฒนธรรม เวียงเจ็ดลิน,Heading,None,
1,Text,การดำเนินการโครงการภายใต้แหล่งทุนวัฒนธรรม เวียงเจ็ดลิน ประกอบไปด้วย 2 กิจกรรมคือ กิจกรรมถาวร (การท่องเที่ยวเชิงนิเวศเชิงประวัติศาสตร์ แหล่งพักผ่อนและแหล่งการเรียนรู้ พื้นที่สาธารณะ พื้นที่ออกกำลังกาย เทรลเดิน วิ่งและปั่นจักรยาน และพื้นที่สร้างสรรค์และทำกิจกรรม) และ กิจกรรมหมุนเวียน (นิทรรศการหมุนเวียน งานแสดงศิลปะ การจัดอีเวนท์ Workshop และ การแสดงดนตรีร่วมสมัย),Paragraph,None,
1,Text,ในส่วนของการระบุวิเคราะห์ผู้มีส่วนเกี่ยวข้อง (Stakeholder) ประกอบไปด้วย,Paragraph,None,
1,Text,"กลุ่มผู้ดำเนินงานหลัก ได้แก่ ทีมวิจัยของมหาวิทยาลัยเชียงใหม่,กลุ่มผู้ที่ได้รับประโยชน์ ได้แก่ นักท่องเที่ยว ชาวบ้านหรือประชาชนในพื้นที่ ครูหรือนักเรียน และ หน่วยงานที่เกี่ยวข้องในพื้นที่",List(bullet),None,"หมายเหตุ: แต่ละรายการข้อมูล คั่นด้วย เครื่องหมาย (,)"
1,Text,ซึ่งแต่ละกลุ่มผู้มีส่วนเกี่ยวข้องจะเกิดผลลัพธ์จากการดำเนินการโครงการ ดังต่อไปนี้,Paragraph,None,
1,Image,"https://honorable-diadem-0aa.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fee77fe6a-d604-4826-acc3-5d826e2648d8%2F653c4fb4-0339-4c13-8c33-9988125c3347%2FSite___Map.jpg?table=block&id=19f18aee-0892-4aae-b630-543943c9de89&spaceId=ee77fe6a-d604-4826-acc3-5d826e2648d8&width=960&userId=&cache=v2, เส้นทางท่องเที่ยวเชิงสร้างสรรคไซต์เวียงเจ็ดลิน",Fit,None,
2,Text,ศาลาตาน้ำเวียงเจ็ดลิน (รายละเอียดการประกวด),Title,None,
2,Text,ที่มาและความสำคัญ,Heading,None,
2,Text,เวียงเจ็ดลิน เป็นเมืองโบราณตั้งอยู่บริเวณเชิงเขาดอยสุเทพ เวียงเจ็ดลินปรากฏในหลักฐานทาง ประวัติศาสตร์ในหลายๆ แห่งในรูปแบบของตำนานและการจัดบันทึก อีกทั้งยังได้เคยมีการขุดค้นและ พบชิ้นส่วนของเครื่องใช้ดินเผามากมาย ได้ถูกนำมาศึกษาวิจัยและต่อยอดองค์รู้มากมาย แต่ตามปัจจุบัน เวียงเจ็ดลิน ไม่ได้ถูกดูแลเป็นอย่างดีเท่าที่ควร อีกทั้งร่องรอยหรือสัญฐานทางโบราณคดียังเริ่มจางให้ไป ตามกาล และรกร้าง,Paragraph,None,
2,Text,"โครงการ “ลำเหมืองที่หายไป...ว่าด้วยการพลิกฟื้นและจัดการทุนวัฒนธรรมที่เกิดขึ้นจาก สายน้ำ” กำลังตั้งคำถามถึงการเลือนหายไปและการฟื้นนฟูให้แหล่งน้ำตามธรรมชาติที่เคยเป็นชัยภูมิของ เมืองได้กลับมามีชีวิตอีกครั้ง ผ่านการหาโอกาสและช่องทางในการพลิกฟื้นด้วยรูปแบบต่างๆ ไม่ว่าจะเป็น งานออกแบบที่ได้จากศึกษาทุนทางวัฒนธรรม, การส่งเสริมการท่องเที่ยว หรือการยกระดับมูลค่า เศรษฐกิจ เป็นต้น เพื่อให้ทุนทางวัฒนธรรมทางสายน้ำนี้สะท้อนถึงการมีอยู่และนำไปสู่การพัฒนาทุน วัฒนธรรมอื่นๆ สืบต่อไป",Paragraph,None,
2,Text,"ดังนั้น โครงการ “ลำเหมืองที่หายไป...ว่าด้วยการพลิกฟื้นและจัดการทุนวัฒนธรรมที่เกิดขึ้นจาก สายน้ำ” ในความร่วมมือของกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม, ศูนย์ล้านนาสร้างสรรค์และมหาวิทยาลัยเชียงใหม่ ขอเชิญนักออกแบบรุ่นใหม่มาร่วมกันสร้างแนวคิดและ การออกแบบศาลาตาน้ำเวียงเจ็ดลินเพื่อนำไปสู้การจัดการและนำเสนอทุนทางวัฒนธรรมที่กำลังเลือนหาย ให้กับขึ้นในความรับรู้อีกครั้ง",Paragraph,None,
2,Link,"google.com, ดูรายละเอียด",Attachment,None,
2,Text,ผลงานการประกวดผลงานการออกแบบอันดับ 1 - 3,Title,None,
2,Text,ผลงานประกวดรางวัลที่ 1 (ทีม ARRG Arch Ranger ),Heading,None,
2,Text,แนวคิด สายน้ำ7สายและเมืองรูปวงกลม “เวียงเจ็ดลิน”,Subheading,None,
2,Text,น้ำเปรียบดั่งชีวิตของคนมาช้านานตั้งแต่ อดีตวิถีชีวิตที่ถูกล่อเลี้ยงด้วยสายน้ำและธรรมชาติต้นกำเนิดชีวิต ต้นกำแนิดสายน้ำจากภูเขาไหลสู่ เบื่องล่าง ผ่านการไหล ซึมซับ กรองผ่านชั้นหินและผุดเป็นตาน้ำที่ใส่สะอาด ผ่านกาวเวลา เรื่องราว หลายชั่วอายุเป็นเรื่องราวของเวียงเจ็ดลิน แม้ปัจจุบันสายน้ำหลายสายจะแห้งเหือดไปตามการเวลาและวิถีชีวิตของคนที่เปลี่ยนไป และรบกวนธรรมชาติ ทำให้สายน้ำที่เคยใกล้ชิดกับ คนนั้นหายแห้งเหือดไป เช่นเดียวกับเรื่องราวของเวียงเจ็ดลิน ที่น้อยคนจะรู้แม้แต่ผู้ที่อาศัยอยู่ในพื้นที่เอง ทางผู้จัดทำจึงตระหนักถึงการรำลึกถึงสายน้ำทั้ง7 และเรื่องราวของเวียงเจ็ดลิน อีกทั้งการทำให้ผู้คนได้ใกล้ชิดกับแหล่งน้ำสำคัญ 1 ใน 7 ของเวียงเจ็ดริน จึงนำไปสู่การออกแบบพื้นที่เพื่ออนุรักษ์เชิงประวัติศาสตร์และการมีปฏิสัมพันธ์กับพื้นที่เพื่อให้ได้ซึมซับบรรยากาศ เรื่องราวของพื้นที่ได้อย่างลึกซึ้ง,Paragraph,None,
2,Text,แนวคิดในการออกแบบศาลาตาน้ำเวียงเจ็ดลิน (Concept),Heading,None,
2,Text,ทางผู้จัดทำต้องการให้ผู้คนได้เข้ามาอยู่ใกล้กับน้ำเข้ามาใกล้กับพื่นที่ตานน้ำของเวียงเจ็ดลินในอดีตที่ถูกปล่อยทิ้งมานาน ศาลาตาน้ำโดยมุ่งให้คนเข้ามาใช้เพื่อพักผ่อนหรือแม้แต่เป็นพื้นที่อเนกประสงค์ในการใช้งานสำหรับผู้ที่ผ่านเข้ามา,Paragraph,None,
2,Image,"https://honorable-diadem-0aa.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fee77fe6a-d604-4826-acc3-5d826e2648d8%2F627e93dd-7999-4c24-83bd-fbc08a3924ef%2FUntitled.png?table=block&id=f86af4e1-3d0e-4472-be68-1ddbc37be1ff&spaceId=ee77fe6a-d604-4826-acc3-5d826e2648d8&width=850&userId=&cache=v2(),https://honorable-diadem-0aa.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fee77fe6a-d604-4826-acc3-5d826e2648d8%2Fde100527-1966-4ea9-b1cc-39cdc2eec839%2FUntitled.png?table=block&id=105b6343-1e16-48f8-b3a6-ccdaa2442e82&spaceId=ee77fe6a-d604-4826-acc3-5d826e2648d8&width=920&userId=&cache=v2(),https://honorable-diadem-0aa.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fee77fe6a-d604-4826-acc3-5d826e2648d8%2F5d827342-e5a0-41ae-b5e8-5011ca378420%2FARRG05.jpg?table=block&id=f795acad-3f7b-4fc1-88a4-fc135f39104a&spaceId=ee77fe6a-d604-4826-acc3-5d826e2648d8&width=770&userId=&cache=v2()",Carousel,None,
2,Text,ทางเข้าหลักของศาลา ,Heading,None,
2,Text,การจัดวางและเปิดมุมมองนั้นมีการวิเคราะห์ผ่านทิศทางของลมและแสงทำให้พื้นที่ถูกกั้นโดย ระแนงทำให้ลมและแสงยังสามารถผ่านไปได้ พื้นที่บริเวณนี้เป็นการนำทางให้ผู้ใช้เข้าไปในพื้นที่และมีการเล่าเรื่องราวของเวียงเจ็ดลิน,Paragraph,None,
2,Image,"https://honorable-diadem-0aa.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fee77fe6a-d604-4826-acc3-5d826e2648d8%2F5d827342-e5a0-41ae-b5e8-5011ca378420%2FARRG05.jpg?table=block&id=f795acad-3f7b-4fc1-88a4-fc135f39104a&spaceId=ee77fe6a-d604-4826-acc3-5d826e2648d8&width=770&userId=&cache=v2,",Fit,None,
2,Text,ใจกลางศาลา,Heading,None,
2,Text,การออกแบบเป็นการจำลองพื้นที่เป็นภูเขาให้ได้เข้ามาอยู่ใกล้กับคนเนื่องจากเจ็ดลินนั้นมีความเกี่ยวข้องกัน ระหว่างคน น้ำ และภูเขา,Paragraph,None,
2,Image,"https://honorable-diadem-0aa.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fee77fe6a-d604-4826-acc3-5d826e2648d8%2Faf7acbdb-2303-43f9-b38d-0de7dfd8cb3b%2FARRG03.jpg?table=block&id=1aef69ac-dfa0-4d54-85a7-a112d2c712aa&spaceId=ee77fe6a-d604-4826-acc3-5d826e2648d8&width=960&userId=&cache=v2,",Fit,None,
2,Text,พื้นที่ใช้สอยโดยรอบ ,Heading,None,
2,Text, พื้นที่ที่เปรียบสเหมือนคลื่นน้ำเกิดการเคลื่อนไหว โดยมีรูปทรงที่โค้งคล้ายกับคลื่นที่เกิดขึ้นเมื่อน้ำพุด จากพื้น และใช้ผ้าในการเพิ่มความพริ้วไหวของศาลาให้มีชีวิตคล้ายกับสายที่กำลังพริ้วไหว อีกทั้งหน้าที่เชิ่งการใช้สอยในการแบ่งพื้นที่หรือกั้นมุมมอง,Paragraph,None,
2,Image,"https://honorable-diadem-0aa.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fee77fe6a-d604-4826-acc3-5d826e2648d8%2Fec3c79aa-8a09-4159-8949-919768ff0e93%2FARRG02.jpg?table=block&id=e98469e8-2134-45b5-9b6c-21bb39e89220&spaceId=ee77fe6a-d604-4826-acc3-5d826e2648d8&width=960&userId=&cache=v2,",Fit,None,
2,Text,บ่อตาน้ำผุด,Heading,None,
2,Text,บ่อยังคงรูปทรงเดิมตามโครงสร้างด้านล่างเพื่อป้องการการรบกวนระบบตาน้ำด้านล่างแต่มีการเพิ่มลูกเล่น เข้าไปโดยเพิ่มการเล่นระดับน้ำไหล เพื่อเพิ่มการเคลื่อนไหวของน้ำและดึงดูดความสนใจของคนที่เข้ามาใช้พื้นที่เมื่อได้สินเสียงน้ำก็จะเข้ามาสนใจพื้นที่อีก ทั้งยังทำให้พื้นที่ดูมีชีวิตเกิดการไหลของน้ำ,Paragraph,None,
2,Image,"https://honorable-diadem-0aa.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fee77fe6a-d604-4826-acc3-5d826e2648d8%2Ff1345de4-6b31-4ac6-98e1-38b7d48be52e%2FARRG04.jpg?table=block&id=b768cf57-2b7f-4411-8da0-4ba282728f06&spaceId=ee77fe6a-d604-4826-acc3-5d826e2648d8&width=960&userId=&cache=v2,",Fit,None,
2,Text,ภาพแบบร่างออกแบบ,Heading,None,
2,Image,"https://honorable-diadem-0aa.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fee77fe6a-d604-4826-acc3-5d826e2648d8%2Ff8a4aa89-e3a0-4cb5-9f5e-faa926fd6999%2FUntitled.png?table=block&id=43c33994-7451-496f-a45a-e373a39db952&spaceId=ee77fe6a-d604-4826-acc3-5d826e2648d8&width=1560&userId=&cache=v2,",Fit,None,
2,Text,วัสดุและการออกแบบ (Plan),Heading,None,
2,Text,"การออกแบบหลังคามาจากน้ำที่ตก บนน้ำทำให้น้ำกระเพือมออก,ไม้ไผ่จะถูกตัดและจะมัดให้เป็นรูปทรงอาร์ด,ที่บริเวณเสาจะมีไม้ไผ่ตัดขึ้นรูปโค้งถักกันไปมาเพื่อเป็นโครงสร้างหลังคา,EAVE GRASS,BAMBOO",List(bullet),None,
2,Image,"https://honorable-diadem-0aa.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fee77fe6a-d604-4826-acc3-5d826e2648d8%2F845c56a2-09d3-4164-b8fa-9de1ba8e91ec%2FUntitled.png?table=block&id=e95255fd-edf5-40bd-86c3-98749d66cb7b&spaceId=ee77fe6a-d604-4826-acc3-5d826e2648d8&width=1390&userId=&cache=v2,",Fit,None,
2,Text,มุมมองการออกแบบ,Heading,None,
2,Text,"Free Space,Water spring,History,System pump",List(bullet),None,"หมายเหตุ: แต่ละรายการข้อมูล คั่นด้วย เครื่องหมาย (,)"
